Region_ID,Latitude,Longitude,Density_Contrast,Area_Pixels,Is_Undiscovered,Dist_to_Known_km
1107,35.4275,-115.42462311557789,0.5401323,1,True,22.246974173305937
1153,35.4215,-115.47889447236182,0.53995955,1,True,19.085275468570053
1109,35.4265,-115.5281407035176,0.53954655,1,True,16.461136736093902
919,35.4595,-115.53015075376884,0.5393827,1,True,12.879857972765413
150,35.5785,-115.49597989949748,0.538808,1,True,7.039736780274113
985,35.4435,-115.45979899497488,0.5385313,1,True,18.302429202325758
940,35.454499999999996,-115.46180904522613,0.53748536,1,True,17.23344641404576
732,35.5115,-115.52713567839196,0.5374606,1,True,7.76895216152673
666,35.5275,-115.50904522613065,0.53741723,1,True,7.849018438548362
920,35.4595,-115.52713567839196,0.53655076,1,True,12.985898724697208
531,35.5465,-115.49698492462312,0.5361427,2,True,8.04638300445915
1170,35.4195,-115.4678391959799,0.5360256,3,True,19.91811587067975
1097,35.4275,-115.5180904522613,0.5351247,1,True,16.672040358221388
504,35.548500000000004,-115.52412060301508,0.5350005,1,True,5.1820164513927285
1291,35.4035,-115.51608040201005,0.53489465,1,True,19.280313578495225
481,35.5515,-115.44673366834171,0.53472775,1,True,11.840710994312731
704,35.5185,-115.41758793969849,0.5346263,1,True,16.68637022491856
1199,35.4145,-115.5502512562814,0.53198963,2,True,17.343943630602258
497,35.5495,-115.46582914572865,0.53076154,1,True,11.052051669002163
1228,35.4115,-115.52010050251256,0.53010464,2,True,18.30282494177975
1104,35.4275,-115.43266331658292,0.5295475,1,True,21.628707738693926
1213,35.4135,-115.4819095477387,0.52951574,1,True,19.697308319228668
743,35.5095,-115.53316582914573,0.5289186,1,True,7.6175704548130385
1078,35.4305,-115.47989949748744,0.5277529,1,True,18.170795502706454
954,35.4525,-115.53316582914573,0.5273514,1,True,13.529088869323143
415,35.5565,-115.43467336683418,0.52723366,2,True,12.177713893403523
721,35.5135,-115.5502512562814,0.527221,1,True,6.497632850622973
910,35.4615,-115.53015075376884,0.52719814,1,True,12.66862831559132
809,35.4915,-115.54221105527638,0.5270633,1,True,9.090773426392484
828,35.4865,-115.44673366834171,0.52697253,1,True,16.12060421206437
83,35.5865,-115.45577889447236,0.5264757,1,True,8.122448185343105
421,35.5555,-115.51708542713568,0.526295,1,True,5.616242654600694
777,35.5015,-115.43065326633166,0.5229774,1,True,16.794441881706863
1059,35.4325,-115.42462311557789,0.5214025,1,True,21.855856420368358
219,35.5705,-115.5321608040201,0.52065074,1,True,3.7077261596589577
614,35.536500000000004,-115.51407035175879,0.5205711,1,True,6.818539344041635
647,35.5305,-115.54020100502512,0.5203238,1,True,5.210298648121659
420,35.5555,-115.53618090452261,0.5189707,1,True,3.6366372371232942
25,35.594500000000004,-115.46080402010051,0.5171744,1,True,7.089486069671933
1144,35.4235,-115.43266331658292,0.5171701,1,True,21.955502145153865
933,35.4555,-115.55427135678391,0.517163,1,True,12.771119683896085
658,35.5285,-115.53417085427135,0.51673186,1,True,5.775764734961774
1168,35.4195,-115.53417085427135,0.51635987,1,True,17.064974253529726
578,35.5415,-115.51306532663317,0.51623523,1,True,6.630278859718413
